,name,loss,acc,epochs,batch,alpha,depth_multiplier
0,modelv1_transfer_10epochs_256batch,0.005878778174519539,0.9991416335105896,10,256,,
1,modelv1_transfer_10epochs_128batch,0.004270041361451149,0.9991416335105896,10,128,,
2,modelv1_scratch_50epochs_32batch,0.03541367128491402,0.990128755569458,50,32,,
3,modelv1_scratch_50epochs_64batch,0.038768917322158813,0.9862660765647888,50,64,,
4,modelv1_transfer_10epochs_32batch,0.0010236874222755432,1.0,10,32,,
5,modelv1_transfer_10epochs_64batch,0.0024615933652967215,0.9995708465576172,10,64,,
6,modelv1_transfer_30epochs_256batch,0.002572561614215374,0.9995708465576172,30,256,,
7,modelv1_transfer_30epochs_128batch,0.0010336212581023574,1.0,30,128,,
8,modelv1_transfer_30epochs_64batch,0.0003091632970608771,1.0,30,64,,
9,modelv1_scratch_100epochs_64batch,0.011404699645936489,0.9974249005317688,100,64,,
10,modelv1_scratch_100epochs_32batch,0.010473053902387619,0.9978541135787964,100,32,,
11,modelv1_transfer_30epochs_32batch,0.0005831391317769885,1.0,30,32,,
