,name,loss,acc,epochs,batch,time,alpha,depth_multiplier
0,modelv1_scratch_30epochs_64batch,0.7464734315872192,0.8120172023773193,30,64,25.998403787612915,,
1,modelv1_transfer_10epochs_256batch,0.005878776777535677,0.9991416335105896,10,256,29.13117003440857,,
2,modelv1_transfer_10epochs_128batch,0.004270048812031746,0.9991416335105896,10,128,26.787598848342896,,
3,modelv1_scratch_50epochs_32batch,0.035413701087236404,0.990128755569458,50,32,28.62894582748413,,
4,modelv1_scratch_75epochs_32batch_025alpha_1depthMultiplier,0.024959729984402657,0.9952789545059204,75,32,23.1317617893219,025,1
5,modelv1_scratch_10epochs_32batch_025alpha,0.3712941110134125,0.8952789902687073,10,32,25.6801700592041,025,
6,modelv1_scratch_50epochs_64batch,0.03876888006925583,0.9862660765647888,50,64,25.53840208053589,,
7,modelv1_transfer_30epochs_128batch_075alpha,0.0024161888286471367,0.9991416335105896,30,128,23.645941972732544,075,
8,modelv1_scratch_30epochs_32batch,0.058037322014570236,0.9806867241859436,30,32,24.73671865463257,,
9,modelv1_scratch_75epochs_32batch_05alpha_1depthMultiplier,0.03969062492251396,0.9884120225906372,75,32,21.334094047546387,05,1
10,modelv1_transfer_30epochs_128batch_025alpha,0.013653581961989403,0.9965665340423584,30,128,27.599450826644897,025,
11,modelv1_scratch_75epochs_32batch_075alpha_1depthMultiplier,0.02008718252182007,0.995708167552948,75,32,29.76367712020874,075,1
12,modelv1_scratch_10epochs_32batch,0.08759176731109619,0.9695279002189636,10,32,26.546940803527832,,
13,modelv1_scratch_10epochs_32batch_075alpha,0.075264573097229,0.9751073122024536,10,32,26.896467924118042,075,
14,modelv1_scratch_10epochs_64batch,0.12268155813217163,0.95622318983078,10,64,29.32351279258728,,
15,modelv1_transfer_10epochs_128batch_05alpha,0.008581290952861309,0.9974249005317688,10,128,22.185964107513428,05,
16,modelv1_scratch_75epochs_32batch_1alpha_1depthMultiplier,0.008989807218313217,0.9982832670211792,75,32,29.492108821868896,1,1
17,modelv1_transfer_10epochs_32batch,0.001023686956614256,1.0,10,32,27.84146475791931,,
18,modelv1_scratch_30epochs_32batch_05alpha,0.12559406459331512,0.951931357383728,30,32,26.16092085838318,05,
19,modelv1_transfer_10epochs_128batch_025alpha,0.02249704860150814,0.99442058801651,10,128,22.93710994720459,025,
20,modelv1_scratch_75epochs_32batch_125alpha_1depthMultiplier,0.025367166846990585,0.9965665340423584,75,32,27.29092574119568,125,1
21,modelv1_transfer_10epochs_64batch,0.002461594296619296,0.9995708465576172,10,64,25.185247898101807,,
22,modelv1_transfer_30epochs_128batch_05alpha,0.004419724922627211,0.9982832670211792,30,128,20.53334927558899,05,
23,modelv1_scratch_30epochs_32batch_075alpha,0.015610570088028908,0.995708167552948,30,32,32.689996004104614,075,
24,modelv1_transfer_30epochs_256batch,0.002572563011199236,0.9995708465576172,30,256,28.392351150512695,,
25,modelv1_transfer_30epochs_128batch,0.0010336205596104264,1.0,30,128,29.041508674621582,,
26,modelv1_scratch_30epochs_32batch_025alpha,0.042301278561353683,0.9824034571647644,30,32,32.81519889831543,025,
27,modelv1_scratch_10epochs_32batch_05alpha,0.09164047986268997,0.9622317552566528,10,32,29.695374011993408,05,
28,modelv1_transfer_30epochs_64batch,0.0003091628896072507,1.0,30,64,27.303709983825684,,
29,modelv1_scratch_100epochs_64batch,0.011404693126678467,0.9974249005317688,100,64,33.99195313453674,,
30,modelv1_scratch_100epochs_32batch,0.010473039001226425,0.9978541135787964,100,32,25.561002016067505,,
31,modelv1_transfer_30epochs_32batch,0.0005831398302689195,1.0,30,32,26.282591819763184,,
32,modelv1_transfer_10epochs_128batch_075alpha,0.006642225198447704,0.9987124800682068,10,128,26.065970182418823,075,
