Wall time,Step,Value
1668585256.757365,0,0.13709384202957153
1668585275.492629,1,0.02810010500252247
1668585294.273233,2,0.0191386379301548
1668585313.29344,3,0.015669837594032288
1668585333.080986,4,0.01338895596563816
1668585352.082332,5,0.011183206923305988
1668585371.327755,6,0.010844113305211067
1668585391.080128,7,0.009010368026793003
1668585411.186678,8,0.008931446820497513
1668585430.698795,9,0.00789892952889204
1668585450.314271,10,0.007056773640215397
1668585469.401295,11,0.006930011324584484
1668585489.214674,12,0.0059810527600348
1668585509.0372,13,0.005397447384893894
1668585529.028345,14,0.005357427056878805
1668585549.143941,15,0.004514516796916723
1668585569.013965,16,0.004752131178975105
1668585589.254825,17,0.004293881356716156
1668585609.057085,18,0.0042295437306165695
1668585628.217191,19,0.0038119861856102943
1668585647.109296,20,0.0035379815381020308
1668585666.420752,21,0.0036145609337836504
1668585685.979838,22,0.0032437327317893505
1668585705.722275,23,0.0033607801888138056
1668585725.17276,24,0.0026694766711443663
1668585744.788089,25,0.0027761601377278566
1668585764.449301,26,0.0024627838283777237
1668585784.191365,27,0.002359420293942094
1668585804.223274,28,0.002279986860230565
1668585824.322236,29,0.0026802830398082733
