Wall time,Step,Value
1670429331.129642,0,2.62129807472229
1670429350.892709,1,2.147783041000366
1670429370.631789,2,2.044379711151123
1670429390.474356,3,2.020139217376709
1670429410.263867,4,1.94708251953125
1670429430.02846,5,1.9432802200317383
1670429449.742787,6,1.9084502458572388
1670429469.53228,7,1.877088189125061
1670429489.33355,8,1.8595985174179077
1670429509.107472,9,1.867171287536621
1670429528.904885,10,1.8113317489624023
1670429548.678011,11,1.7941324710845947
1670429568.556463,12,1.784145474433899
1670429588.442198,13,1.7510409355163574
1670429608.250929,14,1.7612050771713257
1670429627.985509,15,1.729682445526123
1670429647.822567,16,1.7105257511138916
1670429667.685583,17,1.7203173637390137
1670429687.508813,18,1.722632646560669
1670429707.20241,19,1.65938138961792
1670429726.970706,20,1.705064296722412
1670429746.805591,21,1.6685785055160522
1670429766.641405,22,1.6663708686828613
1670429786.286345,23,1.6654791831970215
1670429806.046076,24,1.641197919845581
1670429825.938266,25,1.635481834411621
1670429845.722469,26,1.6433672904968262
1670429865.479374,27,1.6210089921951294
1670429885.124944,28,1.5954283475875854
1670429904.919081,29,1.6168256998062134
1670429924.751935,30,1.6302499771118164
1670429944.582714,31,1.6107189655303955
1670429964.402537,32,1.599994421005249
1670429984.387276,33,1.6147156953811646
1670430004.204277,34,1.5846058130264282
1670430023.956472,35,1.5972398519515991
1670430043.806041,36,1.5963565111160278
1670430063.548334,37,1.5640631914138794
1670430083.312544,38,1.5721946954727173
1670430103.193071,39,1.5509047508239746
1670430123.048381,40,1.5558521747589111
1670430142.687464,41,1.539713740348816
1670430162.526363,42,1.5614222288131714
1670430182.431562,43,1.5416152477264404
1670430202.360259,44,1.5318243503570557
1670430222.175876,45,1.5347840785980225
1670430241.937402,46,1.541024923324585
1670430261.767067,47,1.5510303974151611
1670430281.562904,48,1.5322771072387695
1670430301.447243,49,1.5263559818267822
1670430321.111142,50,1.504017949104309
1670430340.86264,51,1.5258792638778687
1670430360.683877,52,1.510123372077942
1670430380.518389,53,1.5176843404769897
1670430400.208781,54,1.4985958337783813
1670430419.908918,55,1.5237126350402832
1670430439.632408,56,1.5160504579544067
1670430459.463063,57,1.4918262958526611
1670430479.282748,58,1.5126630067825317
1670430498.980957,59,1.5165259838104248
1670430518.717033,60,1.4947630167007446
1670430538.661206,61,1.5057175159454346
1670430558.498436,62,1.4822572469711304
1670430578.234804,63,1.5017187595367432
1670430597.920693,64,1.5194092988967896
1670430617.688375,65,1.4744019508361816
1670430637.517664,66,1.4726289510726929
1670430657.430917,67,1.483752965927124
1670430677.149868,68,1.4797762632369995
1670430696.923331,69,1.4841508865356445
1670430716.820801,70,1.466184139251709
1670430736.707742,71,1.454125165939331
1670430756.395844,72,1.457209587097168
1670430776.069501,73,1.4694044589996338
1670430796.104663,74,1.4584665298461914
1670430815.887967,75,1.459810495376587
1670430835.706155,76,1.4439300298690796
1670430855.426973,77,1.460294485092163
1670430875.241762,78,1.4731911420822144
1670430895.053865,79,1.4523838758468628
1670430914.885176,80,1.4650124311447144
1670430934.635159,81,1.4308085441589355
1670430954.267856,82,1.461089849472046
1670430973.996306,83,1.4253721237182617
1670430993.907106,84,1.431089997291565
1670431013.793049,85,1.4270504713058472
1670431033.477566,86,1.4581496715545654
1670431053.266616,87,1.436838984489441
1670431073.147186,88,1.4309760332107544
1670431092.966855,89,1.4465792179107666
1670431112.7998,90,1.433908224105835
1670431132.634618,91,1.4321157932281494
1670431152.43293,92,1.4316407442092896
1670431172.19515,93,1.4530662298202515
1670431192.073466,94,1.4374313354492188
1670431211.718056,95,1.447282314300537
1670431231.472116,96,1.4222649335861206
1670490511.892624,97,1.4353249073028564
1670490534.458216,98,1.427426815032959
1670490557.363171,99,1.414631724357605
