Wall time,Step,Value
1670427311.981461,0,2.4931225776672363
1670427332.052268,1,2.0687267780303955
1670427352.189197,2,1.9842069149017334
1670427372.175892,3,1.9286051988601685
1670427392.214402,4,1.8872307538986206
1670427412.272368,5,1.836086392402649
1670427432.310271,6,1.7968621253967285
1670427452.356895,7,1.7537802457809448
1670427472.544965,8,1.736706018447876
1670427492.478586,9,1.7406458854675293
1670427512.575771,10,1.7021616697311401
1670427532.649651,11,1.6733105182647705
1670427552.684194,12,1.6625925302505493
1670427572.776143,13,1.6431902647018433
1670427592.966127,14,1.6535820960998535
1670427612.947222,15,1.6192244291305542
1670427632.936043,16,1.614680290222168
1670427653.36709,17,1.5830744504928589
1670427673.558406,18,1.5807483196258545
1670427693.697168,19,1.590783715248108
1670427713.705079,20,1.5587767362594604
1670427733.68865,21,1.579018473625183
1670427753.763562,22,1.5368794202804565
1670427773.789641,23,1.5189094543457031
1670427793.898246,24,1.5400562286376953
1670427814.06,25,1.5358822345733643
1670427834.075543,26,1.506581425666809
1670427854.007677,27,1.505005121231079
1670427874.00111,28,1.5117360353469849
1670427894.206108,29,1.5192123651504517
1670427914.285358,30,1.479087233543396
1670427934.365239,31,1.4512948989868164
1670427954.436552,32,1.4704283475875854
1670427974.417427,33,1.4649053812026978
1670427994.521087,34,1.4632662534713745
1670428014.654913,35,1.444678544998169
1670428034.841174,36,1.4465985298156738
1670428055.291099,37,1.423563003540039
1670428075.341568,38,1.4136601686477661
1670428095.415222,39,1.4057183265686035
1670428115.521714,40,1.4311330318450928
1670428135.584765,41,1.3980625867843628
1670428155.721666,42,1.3934677839279175
1670428175.890606,43,1.4177576303482056
1670428195.922274,44,1.4050137996673584
1670428216.162687,45,1.4035297632217407
1670428236.588876,46,1.3851226568222046
1670428256.695925,47,1.372837781906128
1670428276.825938,48,1.3963137865066528
1670428297.075583,49,1.382016658782959
1670428317.094141,50,1.3672069311141968
1670428337.151734,51,1.3856433629989624
1670428357.329691,52,1.3522039651870728
1670428377.4815,53,1.3670332431793213
1670428397.600108,54,1.3245251178741455
1670428417.80434,55,1.3309882879257202
1670428437.85253,56,1.3419269323349
1670428457.86318,57,1.361014485359192
1670428477.971406,58,1.3504949808120728
1670428498.102441,59,1.3098586797714233
1670428518.148833,60,1.3512804508209229
1670428538.288188,61,1.2982481718063354
1670428558.297888,62,1.3319706916809082
1670428578.230854,63,1.3079406023025513
1670428598.331238,64,1.3114246129989624
1670428618.40576,65,1.3035693168640137
1670428638.424322,66,1.334038496017456
1670428658.486576,67,1.3017908334732056
1670428678.449465,68,1.3010001182556152
1670428698.458579,69,1.3117012977600098
1670428718.601731,70,1.2805646657943726
1670428738.65192,71,1.2775276899337769
1670428758.751824,72,1.2968719005584717
1670428778.778755,73,1.2795418500900269
1670428798.751682,74,1.2848925590515137
1670428818.771734,75,1.2693570852279663
1670428838.82525,76,1.27839195728302
1670428858.907406,77,1.294981837272644
1670428878.992717,78,1.2727587223052979
1670428898.993044,79,1.2791675329208374
1670428919.016,80,1.2778637409210205
1670428939.052417,81,1.245042324066162
1670428959.232863,82,1.2723029851913452
1670428979.275906,83,1.2569037675857544
1670428999.353722,84,1.2264411449432373
1670429019.329102,85,1.2397370338439941
1670429039.375916,86,1.2590464353561401
1670429059.569318,87,1.262247920036316
1670429079.680578,88,1.2410448789596558
1670429099.828758,89,1.218163013458252
1670429119.908718,90,1.2289468050003052
1670429139.963759,91,1.2632795572280884
1670429159.993257,92,1.2409968376159668
1670429180.038275,93,1.2320616245269775
1670429200.12885,94,1.2046935558319092
1670429220.166224,95,1.240728735923767
1670429240.132408,96,1.243289828300476
1670429260.107156,97,1.223219871520996
1670429280.157439,98,1.2175544500350952
1670429300.220905,99,1.215162992477417
